啊	a	뭐
西	xī	oo
习惯	xí guàn	습관
洗手间	xǐ shǒu jiān	화장실
洗澡	xǐ zǎo	목욕 해
夏	xià	여름
先	xiān	먼저
相信	xiāng xìn	믿다
香蕉	xiāng jiāo	바나나
像	xiàng	처럼
向	xiàng	...에
小心	xiǎo xīn	조심해
校长	xiào zhǎng	주요한
新闻	xīn wén	뉴스
新鲜	xīn xiān	신선한
信用卡	xìn yòng kǎ	신용 카드
行李箱	xíng lǐ xiāng	트렁크
熊猫	xióng māo	팬더
需要	xū yào	필요한 것
选择	xuǎn zé	고르다
要求	yāo qiú	청구
爷爷	yé ye	할아버지
一直	yī zhí	항상
一定	yí dìng	확실히
一共	yī gòng	합계
一会儿	yī huì er	잠시
一样	yī yàng	같은
以前	yǐ qián	전에
一般	yī bān	일반
一边	yī biān	한쪽
音乐	yīn yuè	음악
银行	yín háng	은행
饮料	yǐn liào	음주
应该	yīng gāi	할까요
影响	yǐng xiǎng	영향
用	yòng	사용하다
游戏	yóu xì	경기
有名	yǒu míng	유명한
又	yòu	또한
遇到	yù dào	교전
元	yuán	원
愿意	yuàn yì	자발적인
月亮	yuè liang	달
越	yuè	더
站	zhàn	역
张	zhāng	장
长	zhǎng	long (동사)
着急	zháo jí	불안
照顾	zhào gu	을 돌보다
照片	zhào piàn	사진
照相机	zhào xiàng jī	카메라
只	zhǐ	만 (부사)
只	zhǐ	만 (수량 자)
只有…才…	zhǐ yǒu …cái …	뿐...
中间	zhōng jiān	중급
中文	zhōng wén	중국말
终于	zhōng yú	마침내
种	zhǒng	종 (정량 자)
重要	zhòng yào	중대한
周末	zhōu mò	주말
主要	zhǔ yào	본관
注意	zhù yì	노트
自己	zì jǐ	자신
自行车	zì xíng chē	자전거
总是	zǒng shì	항상
嘴	zuǐ	입
最后	zuì hòu	마침내
最近	zuì jìn	충적세
作业	zuò yè	조작
